"KontoID","Konto","Naziv","RokPlacanja"
"2932","0321","Ulaganja u vlastite graDevine pribavljene radi kapitalnog poveCanja vrijednosti","0"
"2933","0322","Oprema zgrade koja je sastavni dio ulaganja u nekretnine","0"
"2934","0328","Ispravka vrijednosti vlastite graDevine (metodom nabavne vriujednosti)","0"
"2935","0329","Vrijednosno usklaDivanje vlastite graDevine (metodom fer vrijednosti)","0"
"2936","033","Ulaganja u unajmljene graDevine","0"
"2937","0330","GraDevine u finansijskom najmu date u podnajam","0"
"2938","0331","GraDevine u operativnom najmu date u podnajam","0"
"2939","0338","Ispravka vrijednosti unajmljene graDevine (metodom nabavne vrijednosti)","0"
"2940","0339","Vrijednosno usklaDivanje unajmljene graDevine (metodom fer vrijednosti)","0"
"210","035","Ulaganja u nekretnine u pripremi","0"
"211","0350","Investicije u toku u vlastito zemljiSte - investicijske nekretnine","0"
"212","0351","Investicije u toku u unajmljeno zemljiSte - investicijske nekretnine","0"
"213","0352","Investicije u toku u vlastite graDevine - investicijske nekretnine","0"
"2941","0353","Investicije u toku u unajmljene graDevine - investicijske nekretnine","0"
"2942","0359","Vrijednosno usklaDivanje investicijskih nekretnina u pripremi","0"
"214","037","Avansi za investicijske nekretnine","0"
"215","0370","Avansi za ulaganja u vlastito zemljiSte - investicijske nekretnine","0"
"216","0371","Avansi za ulaganja u unajmljeno zemljiSte - investicijske nekretnine","0"
"217","0372","Avansi za ulaganja u vlastite graDevine - investicijske nekretnine","0"
"218","0373","Avansi za ulaganja u unajmljene graDevine - investicijske nekretnine","0"
"2943","0379","Vrijednosno usklaDivanje datih avansa za investicijske nekretnine","0"
"222","04","BIOLOSKA SREDSTVA","0"
"224","0400","BjelogoriCne Sume","0"
"225","0401","CrnogoriCne Sume","0"
"226","0402","MjeSovite Sume","0"
"231","0407","Ostale Sume","0"
"232","0408","Ispravka vrijednosti Suma po osnovu amortizacije","0"
"233","0409","Vrijednosno usklaDivanje vrijednosti Suma","0"
"2944","041","ViSegodiSnji zasadi","0"
"2945","0410","VoCnjaci","0"
"2946","0411","Vinogradi i maslinici","0"
"2947","0412","Hmeljnici","0"
"2948","0413","BrzorastuCe upotrebno drveCe (topole i dr.)","0"
"2949","0414","BrzorastuCe ukrasno drveCe","0"
"2950","0415","Parkovi zelenila travnjaci","0"
"2951","0416","Ostali viSegodiSnji zasadi","0"
"2952","0417","ViSegodiSnji zasadi van upotrebe","0"
"2953","0418","Ispravka vrijednosti viSegodiSnjih zasada po osnovu amortizacije","0"
"2954","0419","Vrijednosno usklaDivanje viSegodiSnjih zasada","0"
"2955","042","Osnovno stado","0"
"2956","0420","Goveda (telad, junad, krave i dr.)","0"
"2957","0421","Konji, mazge, magarci i mule","0"
"234","045","BioloSka sredstva u pripremi","0"
"235","047","Avansi za bioloSka sredstva","0"
"237","05","OSTALA (SPECIFICNA) STALNA MATERIJALNA SREDSTVA","0"
"238","050","Ostala (specifiCna) stalna materijalna sredstva u upotrebi","0"
"271","055","Ostala stalna materijalna sredstva u pripremi","0"
"272","0550","Ostalna stalna materijalna sredstva u pripremi Usubanalitika po vrstama)","0"
"275","0559","Vrijednosno usklaDivanje za ostala stalna materijalna sredstva u pripremi","0"
"286","057","Avansi za stalna materijalna sredstva","0"
"300","06","DUGOROCNI FINANSIJSKI PLASMANI","0"
"301","060","UCeSCa u kapitalu povezanih pravnih lica (unutar grupe za konsolidaciju)","0"
"305","061","UCeSCa u kapitalu drugih pravnih lica","0"
"308","062","DugoroCni krediti dati povezanim pravnim licima","0"
"2958","063","DugoroCni krediti dati u zemlji","0"
"2959","064","DugoroCni krediti dati u inostranstvo","0"
"2960","065","Finansijska sredstva raspoloZiva za prodaju","0"
"2961","066","Finansijska sredstva koje se drZe do roka dospijeCa","0"
"311","068","Ostali dugoroCni finansijski plasmani","0"
"314","069","Ispravka vrijednosti dugoroCnih finansijskih plasmana","0"
"319","07","DRUGA DUGOROCNA POTRAZIVANJA","0"
"320","070","PotraZivanja od povezanih pravnih lica","0"
"326","071","PotraZivanja po osnovu prodaje na kredit","0"
"330","072","PotraZivanja po ugovorima o finansijskom najmu (lizingu)","0"
"345","078","Ostala dugoroCna potraZivanja","0"
"351","079","Ispravka vrijednosti dugoroCnih potraZivanja","0"
"389","09","ODLOZENA POREZNA SREDSTVA I DUGOROCNA RAZGRANICENJA","0"
"390","090","OdloZena porezna sredstva","0"
"394","091","Unaprijed plaCeni troSkovi (za period duZi od 12 mjeseci)","0"
"395","0910","Unaprijed plaCene zakupnine za period duZi od 12 mjeseci","0"
"396","0911","Unaprijed plaCeni avansi za usluge za period duZi od 12 mjeseci","0"
"397","0912","Unaprijed plaCeno osiguranje za period duZi od 12 mjeseci","0"
"2962","0914","Unaprijed plaCene kamate za period duZi od 12 mjeseci","0"
"2963","0917","Unaprijed plaCeni ostali troSkovi za period duZi od 12 mjeseci","0"
"398","098","Ostala dugoroCna razgraniCenja","0"
"399","0980","ObraCunata a neplaCena zakupnina na period duZi od 12 mjeseci","0"
"400","0981","ObraCunate kamate na period duZi od 12 mjeseci","0"
"401","0982","RazgraniCeni troSkovi osvajanja nove proizvodnje","0"
"402","0989","Ostali obraCunati a neplaCeni troSkovi na period duZi od 12 mjeseci","0"
"2216","1","ZALIHE I SREDSTVA NAMIJENJENA PRODAJI","0"
"403","10","SIROVINE I MATERIJAL, REZERVNI DIJELOVI I SITAN INVENTAR","0"
"404","100","ObraCun troSka nabavke","0"
"405","1000","Fakturna vrijednost po obraCunu dobavljaCa","0"
"406","10000","Fakturna vrijednost sirovina i materijala","0"
"407","10001","Fakturna vrijednost rezervnih dijelova","0"
"408","10002","Fakturna vrijednost inventara, autoguma i ambalaZe","0"
"409","1001","Zavisni troSkovi nabavke","0"
"410","10010","TroSkovi transporta","0"
"411","10011","TroSkovi utovara i istovara","0"
"412","10012","Osiguranje i Cuvanje u transportu","0"
"2964","10013","Posebni troSkovi pakovanja - ambalaZe","0"
"2965","10014","TroSkovi sopstvenog transporta","0"
"2966","10015","TroSkovi sopstvenog utovara i istovara","0"
"2967","10016","TroSkovi Speditera","0"
"2968","10017","TroSkovi atesta i kontrole","0"
"2969","10018","TroSkovi dorade i oplemenjivanja za vrijeme pribavljanja zaliha","0"
"2970","10019","Ostali zavisni troSkovi nabavke","0"
"413","1002","Carine i druge uvozne daZbine","0"
"417","1003","Akcize, nepovratni porezi i druge daZbine","0"
"420","1004","Spediterski i drugi posredniCki troSkovi","0"
"421","1008","Ostali troSkovi nabavke","0"
"425","1009","ObraCun nabavke","0"
"426","10090","ObraCun nabavke materijala, rezervnih dijelova, alata i inventara koji se skladiSti","0"
